ilce,vs30_merkez,vs30_ort,vs30_min,en_yakin_fay,fay_km,senaryo_can_kaybi,senaryo_agir_hasarli_bina,senaryo_gecici_barinma,hastane_sayisi,itfaiye_sayisi,polis_sayisi,toplanma_alani_sayisi,acik_yesil_alan_adet,acik_yesil_alan_ha,barinma_basina_m2,en_yakin_hastane_km,en_yakin_itfaiye_km,en_yakin_polis_km,en_yakin_toplanma_km,grid_ort_hastane_km,grid_ort_itfaiye_km,grid_enkotu_itfaiye_km,grid_ort_toplanma_km
Bahçelievler,420.3,378.9,226.7,Avcilar,14.4,1633,2286,61199,36,7,4,0,13,17.2,2.8,0.81,0.45,0.46,4.73,0.58,1.13,1.85,4.02
Küçükçekmece,470.7,415.6,225.1,Avcilar,11.8,1515,3856,72774,42,4,3,1,34,168.0,23.1,0.6,0.26,1.95,1.61,0.8,2.17,4.6,2.46
Fatih,350.6,426.8,263.2,Avcilar,16.2,1484,5579,46784,51,13,27,0,60,185.6,39.7,0.24,0.38,0.32,2.36,0.57,0.8,1.68,2.85
Bağcılar,417.5,379.9,214.2,Avcilar,17.6,1179,2621,59513,29,4,4,11,33,75.5,12.7,0.56,1.5,0.21,1.45,0.61,1.41,2.33,1.85
Bakırköy,314.4,397.6,226.7,Avcilar,9.9,1046,2088,28910,29,5,12,0,58,269.9,93.4,1.47,2.83,1.82,6.03,0.78,1.55,2.86,4.99
Esenyurt,379.0,434.1,239.2,Avcilar,17.4,1003,2331,67410,26,4,6,0,18,119.0,17.7,0.81,0.82,1.49,4.49,1.34,1.69,3.33,4.75
Güngören,353.5,339.9,276.7,Avcilar,15.9,754,953,27478,6,2,6,0,4,2.9,1.1,1.04,0.74,0.5,2.32,0.76,1.18,2.03,2.59
Zeytinburnu,337.0,359.2,247.2,Avcilar,13.7,668,1535,31030,31,2,8,0,14,79.0,25.5,0.43,0.92,0.53,4.51,0.47,1.09,1.71,4.13
Esenler,384.2,362.3,265.0,Avcilar,19.5,638,1204,29747,15,4,0,2,17,37.5,12.6,0.04,1.05,2.37,1.27,0.82,1.5,3.34,1.34
Beylikdüzü,529.3,489.0,263.6,Avcilar,10.7,527,1271,26670,13,4,2,6,23,86.1,32.3,2.32,2.37,1.85,0.69,1.58,2.34,5.06,1.69
Bayrampaşa,411.4,363.1,273.6,Avcilar,18.7,520,1796,23064,10,4,4,5,16,74.3,32.2,0.37,0.48,0.61,0.51,0.48,0.95,1.85,1.05
Avcılar,543.6,471.9,261.1,Avcilar,13.9,465,1494,34941,11,3,6,4,20,75.8,21.7,1.06,2.23,2.92,3.08,1.69,2.63,4.74,3.01
Büyükçekmece,448.0,460.7,190.2,Avcilar,17.5,288,2074,24298,15,6,3,1,19,256.7,105.7,1.37,3.12,3.12,3.45,3.85,3.45,8.12,6.15
Tuzla,454.5,410.1,188.1,"Darica, Izmit 1999 Eq",11.9,268,1816,21417,20,8,3,1,36,315.1,147.1,1.06,2.82,3.05,3.92,4.19,3.85,10.74,7.81
Maltepe,739.0,468.4,239.7,Adalar,18.7,234,927,20102,52,4,4,0,43,213.0,106.0,1.33,1.97,1.46,4.23,1.22,2.03,3.95,3.65
Beyoğlu,400.9,423.4,269.9,Avcilar,19.5,217,1251,10295,28,0,9,6,38,50.8,49.3,0.73,1.53,0.86,0.55,0.42,1.52,1.94,0.95
Pendik,281.4,413.5,204.8,"Darica, Izmit 1999 Eq",20.5,195,1315,28281,40,8,7,0,90,265.6,93.9,0.94,2.05,0.72,8.89,6.07,4.79,10.97,9.93
Kadıköy,372.4,421.1,242.6,Adalar,16.9,190,713,13585,64,4,10,0,20,85.9,63.3,0.26,1.88,0.97,3.67,0.43,1.53,3.9,3.24
Kartal,432.5,489.2,269.1,Adalar,16.9,176,792,18189,26,4,4,4,58,140.5,77.2,0.46,2.48,0.47,1.64,1.11,2.07,3.59,2.39
Eyüpsultan,372.1,408.9,189.9,Avcilar,29.9,168,1141,16067,14,9,6,5,60,718.8,447.4,1.99,1.84,4.34,7.44,4.95,4.32,9.82,9.97
Gaziosmanpaşa,304.7,381.2,224.8,Avcilar,21.3,140,532,13963,24,4,4,0,12,20.4,14.6,0.88,2.13,1.24,2.15,0.52,1.19,2.07,2.25
Üsküdar,481.8,466.9,273.9,Adalar,22.5,95,639,15087,62,9,17,3,62,235.8,156.3,0.44,2.5,0.87,2.75,0.67,1.53,2.69,2.08
Ataşehir,346.0,395.2,238.7,Adalar,22.1,89,594,14702,38,2,7,2,26,65.2,44.3,0.7,0.47,1.56,1.07,0.77,1.85,3.51,1.62
Kâğıthane,384.0,405.7,265.8,Avcilar,24.0,84,369,9908,15,4,2,9,27,159.7,161.2,0.52,1.14,1.14,0.26,0.63,1.06,1.69,1.03
Adalar,600.0,576.6,233.7,Adalar,8.1,76,1156,3115,6,11,3,0,60,12.0,38.7,1.26,1.8,1.9,7.02,1.3,1.14,2.51,6.8
Sultanbeyli,398.4,463.0,276.4,Adalar,24.9,73,757,16635,16,3,6,0,24,71.0,42.7,0.44,0.05,0.24,6.59,1.57,1.65,3.81,6.66
Başakşehir,317.0,416.4,201.7,Avcilar,23.2,71,690,13397,9,10,5,1,35,197.4,147.3,1.83,1.89,0.93,2.72,2.26,2.25,5.3,4.71
Silivri,412.6,396.6,180.0,North Marmora,27.0,58,2151,13481,18,18,11,4,31,406.7,301.7,7.52,1.05,0.82,11.64,6.74,4.03,8.95,9.6
Sultangazi,275.2,391.6,201.7,Avcilar,26.6,57,306,10524,16,4,7,0,13,55.9,53.2,1.8,2.46,0.99,5.85,1.96,2.0,3.9,5.84
Şişli,316.2,413.7,287.8,Avcilar,22.7,55,275,4845,51,6,3,7,19,35.4,73.1,0.16,0.53,0.49,0.38,0.39,0.88,2.15,0.61
Sancaktepe,340.5,412.1,232.1,Adalar,26.2,48,500,12967,10,2,6,0,32,85.0,65.6,2.19,2.7,1.59,4.31,3.04,2.77,6.23,4.32
