ilce,lat,lon,vs30,en_yakin_fay,fay_km,fay_onem,kayma_orani
Adalar,40.857,29.123,417.2,Adalar,8.5,6,3
Tuzla,40.816,29.3,282.8,"Darica, Izmit 1999 Eq",9.6,6,3
Avcılar,40.98,28.721,434.0,Avcilar,10.2,4,2
Beylikdüzü,40.982,28.641,468.5,Avcilar,11.1,4,2
Bakırköy,40.9819,28.872,346.9,Avcilar,11.6,4,2
Küçükçekmece,41.0,28.78,386.3,Avcilar,12.3,4,2
Zeytinburnu,40.993,28.902,345.8,Avcilar,12.9,4,2
Bahçelievler,40.998,28.86,405.4,Avcilar,13.3,4,2
Kartal,40.89,29.19,446.9,Adalar,14.0,6,3
Pendik,40.877,29.233,289.4,Adalar,15.0,6,3
Güngören,41.017,28.879,373.7,Avcilar,15.5,4,2
Büyükçekmece,41.02,28.585,244.7,Avcilar,15.6,4,2
Esenyurt,41.034,28.67,452.0,Avcilar,16.4,4,2
Fatih,41.0082,28.9784,365.8,Avcilar,16.7,4,2
Maltepe,40.935,29.131,418.3,Adalar,16.9,6,3
Kadıköy,40.9903,29.0257,350.3,Adalar,17.1,6,3
Bağcılar,41.039,28.857,341.4,Avcilar,17.4,4,2
Silivri,41.073,28.247,412.9,North Marmora,17.8,6,3
Esenler,41.043,28.88,310.1,Avcilar,18.4,4,2
Bayrampaşa,41.043,28.902,411.4,Avcilar,18.5,4,2
Beyoğlu,41.036,28.977,418.7,Avcilar,19.4,4,2
Eyüpsultan,41.048,28.934,498.9,Avcilar,19.5,4,2
Üsküdar,41.025,29.015,463.3,Avcilar,20.0,4,2
Beşiktaş,41.043,29.0064,440.5,Avcilar,21.3,4,2
Gaziosmanpaşa,41.068,28.912,443.3,Avcilar,21.3,4,2
Ataşehir,40.984,29.127,388.1,Adalar,21.5,6,3
Şişli,41.0602,28.987,359.1,Avcilar,22.2,4,2
Başakşehir,41.093,28.802,379.6,Avcilar,22.6,4,2
Kağıthane,41.081,28.972,384.0,Avcilar,23.9,4,2
Ümraniye,41.016,29.124,407.7,Adalar,24.2,6,3
Sultanbeyli,40.967,29.267,398.4,Adalar,24.7,6,3
Sultangazi,41.106,28.872,391.0,Avcilar,24.9,4,2
Sancaktepe,41.0,29.231,264.9,Adalar,26.6,6,3
Çatalca,41.143,28.461,714.7,Avcilar,28.5,4,2
Çekmeköy,41.04,29.183,436.0,Adalar,29.3,6,3
Arnavutköy,41.184,28.74,310.5,Avcilar,32.9,4,2
Beykoz,41.125,29.1,552.3,Adalar,33.2,6,3
Sarıyer,41.166,29.057,600.0,Avcilar,35.4,4,2
Şile,41.175,29.61,409.1,"Karamursel, Izmit 1999 Eq",48.4,4,2
