tip,ad,lat,lon,ilce,kaynak
polis,,41.0238,29.02697,USKUDAR,OSM
hastane,Hospital Türk,41.025962,29.021812,USKUDAR,OSM
polis,,40.98873,28.836839,BAKIRKOY,OSM
polis,Esenyurt İlçe Polis Karakolu,41.03832,28.678989,ESENYURT,OSM
polis,Şehremini Polis Merkezi,41.017589,28.929695,FATIH,OSM
polis,Adli Tıp Kurumu,40.993473,28.83153,BAHCELIEVLER,OSM
polis,Kocasinan Polis Merkezi,41.012633,28.847693,BAHCELIEVLER,OSM
polis,Çevik Kuvvet Şube Müdürlüğü,41.032748,28.91129,BAYRAMPASA,OSM
hastane,,41.03365,28.964145,BEYOGLU,OSM
hastane,,41.011108,29.019047,USKUDAR,OSM
hastane,Vera Tıp Merkezi,41.006025,28.796849,KUCUKCEKMECE,OSM
hastane,Baltalimanı Hastanesi,41.096409,29.053561,SARIYER,OSM
polis,,41.004978,28.964269,FATIH,OSM
hastane,Florence Nightingale,41.063206,29.004239,BESIKTAS,OSM
hastane,Özel Küplüce Tıp Merkez,41.039678,29.052218,USKUDAR,OSM
hastane,Özel Remedy Hospital,40.878777,29.236875,PENDIK,OSM
hastane,Özel Bağcılar Tekden Hastanesi,41.047967,28.844994,BAGCILAR,OSM
hastane,Acıbadem Hospital,40.977664,28.873059,BAKIRKOY,OSM
polis,Fatih Mahallesi Polis Merkezi,40.955699,29.278529,SULTANBEYLI,OSM
polis,Sarıyer Polis Merkezi,41.167773,29.056371,SARIYER,OSM
hastane,Gebze Şifa Tıp Merkezi,40.793368,29.433387,,OSM
polis,Çekmeköy Emniyet Müdürlüğü,41.021517,29.192283,CEKMEKOY,OSM
hastane,Çevre Hastanesi,41.067221,29.001323,SISLI,OSM
hastane,Aksoy Hastanesi,41.067351,29.001366,SISLI,OSM
hastane,Birinci Göz Hastanesi Beylikdüzü,41.011228,28.642805,BEYLIKDUZU,OSM
hastane,Dünya Göz Hastanesi Beykent,41.019077,28.627485,BUYUKCEKMECE,OSM
hastane,Amerikan Hastanesi,41.053381,28.995295,SISLI,OSM
hastane,Belde Tıp Merkezi,41.057449,28.915829,GAZIOSMANPASA,OSM
