ad,tur,ilce,lat,lon,alan_ha
SURURİ PARKI,Park,BEYOGLU,41.037295,28.971759,1.237
DALYAN PARKI,Park,KADIKOY,40.966155,29.055688,11.095
BEYOĞLU İLÇESİ ÖRNEKTEPE ÖĞRENCİ YURDU BAHÇESİ,Kamu,BEYOGLU,41.054723,28.954766,0.142
İSMEM ALKOL VE MADDE BAĞIMLI GENÇLER REHABİLİTASYON MERKEZİ BAHÇESİ,Kamu,TUZLA,40.865047,29.321121,1.096
ORHANGAZİ ŞEHİR PARKI/BATI 1,Park,MALTEPE,40.934243,29.113171,24.875
ALİBEYKÖY LOJİSTİK MERKEZİ,Park,EYUPSULTAN,41.085159,28.950093,5.934
HACI BAYRAM VELİ CADDESİ PARKI,Park,MALTEPE,40.94274,29.159966,1.131
SANCAKTEPE EYÜP SULTAN SPOR KOMPLEKSİ BAHÇESİ,Kamu,SANCAKTEPE,40.978736,29.232509,1.597
FETİH PARKI,Park,EYUPSULTAN,41.084209,28.925269,0.337
BEYKOZ İLÇE EMNİYET MÜDÜRLÜĞÜ BAHÇESİ,Kamu,BEYKOZ,41.09317,29.101991,0.164
İBB BÜYÜKÇEKMECE TEPECİK ÇEM BAHÇESİ,Kamu,BUYUKCEKMECE,41.032818,28.551733,0.147
ÇANAKKALE CADDESİ ORTA REFÜJLER,Cadde (Kavşak ve Refüj),KARTAL,40.904674,29.175999,0.344
ÜSKÜDAR MİMAR SİNAN MEYDANI,Meydan,USKUDAR,41.023246,29.016995,1.645
BEHÇET KEMAL ÇAĞLAR CADDESİ ORTA REFÜJ VE KAVŞAK,Cadde (Kavşak ve Refüj),BUYUKCEKMECE,41.033655,28.594962,0.702
ESENYURT DOĞA ENERJİ RMS İSTASYON BAHÇESİ,Kamu,ESENYURT,41.065048,28.666314,0.188
ESENYURT RMS-4 İSTASYON BAHÇESİ,Kamu,ESENYURT,41.05205,28.654883,0.531
YENİ MAHALLE MUHTARLIK ÇEVRESİ,Kamu,BAKIRKOY,40.981352,28.880146,0.066
ŞEHİT TEVFİK İNAN PARKI,Park,SARIYER,41.219725,29.024294,0.323
İBB SULTANGAZİ AMBAR BİNASI VE ÇEVRESİ,Kamu,SULTANGAZI,41.125198,28.849485,1.147
KASIMPAŞA HAMAM ÖNÜ,Meydan,BEYOGLU,41.033763,28.968263,0.026
ÇAYIRBAŞI TÜNEL BAĞLANTISI KAVŞAĞI YAN REFÜJLER,Cadde (Kavşak ve Refüj),SARIYER,41.154288,29.025506,0.55
ATAKÖY BULVARI (SPOR KOMPLEKSİ KARŞISI) PARK ALANI,Park,BAKIRKOY,40.988225,28.851649,2.624
İBB BAKIRKÖY ŞENLİKKÖY ÇEM BAHÇESİ,Kamu,BAKIRKOY,40.983289,28.78201,0.189
VALİDE-İ CEDİD CAMİ BAHÇESİ,Kamu,USKUDAR,41.02488,29.015197,0.618
OSMANİYE KAVŞAĞI - İNCİRLİ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAKIRKOY,41.003834,28.890503,6.338
SBÜ GAZİOSMANPAŞA FİZİK TEDAVİ EĞİTİM VE ARAŞTIRMA HASTANESİ BAHÇESİ,Kamu,GAZIOSMANPASA,41.089275,28.908595,0.762
ANADOLU KAVAĞI SAHİL PARKI,Park,BEYKOZ,41.168523,29.083893,0.449
BOZGOCA MAHALLE PARKI,Park,SILE,41.142165,29.775293,0.026
SİRKECİ - UNKAPANI ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),FATIH,41.017492,28.973072,0.516
ÇATLADIKAPI SAHİL PARKI,Park,FATIH,41.002021,28.968526,3.778
ŞEHİT MEHMET HÜSEYİN BALTA PARKI,Park,FATIH,41.030091,28.936411,0.489
DOĞANCILAR PARKI,Park,USKUDAR,41.018879,29.01332,0.803
KAMİL ABDUŞ LAGÜN PARKI,Park,TUZLA,40.834312,29.284617,11.007
DOLMABAHÇE YAMAÇLAR YAN REFÜJLER,Cadde (Kavşak ve Refüj),BESIKTAS,41.039446,28.99597,0.079
ÇATALCA KESTANELİK MAHALLE PARKI,Park,CATALCA,41.2303,28.495799,0.101
HALKALI KAVŞAĞI - İKİTELLİ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAGCILAR,41.055071,28.810294,2.237
KÜÇÜKÇEKMECE HÜRRİYET BULVARI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),KUCUKCEKMECE,41.052328,28.795033,6.331
TURGUT ÖZAL METRO İSTASYONU,Metro Çıkışı,BASAKSEHIR,41.081129,28.797592,0.234
ŞEHİTLER PARKI,Park,PENDIK,40.876695,29.223078,3.563
FATİH TERİM YOLU HABİBLER BAĞLANTI YOLU ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BASAKSEHIR,41.132892,28.800022,2.427
PENDİK 100. YIL PARKI,Park,PENDIK,40.878613,29.221383,0.966
İBB İDRİS GÜLLÜCE KÜLTÜR MERKEZİ BAHÇESİ,Kamu,TUZLA,40.850045,29.302711,0.037
ŞEYHLİ MAHALLESİ ANKARA CADDESİ MEZARLIK ÖNÜ ORTA REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.905175,29.281721,0.078
BİLAL BOZKAYA PARKI,Park,BAKIRKOY,40.987249,28.868656,0.14
YENİŞEHİR PARKI,Park,PENDIK,40.933969,29.300554,2.818
EYÜPSULTAN ATATÜRK BULVARI,Cadde (Kavşak ve Refüj),GAZIOSMANPASA,41.080608,28.927376,2.133
TEM KINALI KAVŞAĞI - E5 KINALI KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.0934,28.145107,37.271
CUMHURBAŞKANLIĞI GİRİŞİ YAN REFÜJ,Cadde (Kavşak ve Refüj),SARIYER,41.128935,29.058123,0.496
İBB KARTAL YOL BAKIM VE ONARIM ŞUBE MÜDÜRLÜĞÜ BAHÇESİ,Kamu,KARTAL,40.906551,29.242713,2.306
ESENKENT ÖĞRENCİ PARKI,Park,MALTEPE,40.932347,29.170786,0.446
ATATÜRK BULVARI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),FATIH,41.01459,28.954828,0.46
KAVAKLIDERE YAŞAM VADİSİ 5. ETAP,Park,BEYLIKDUZU,40.964589,28.63443,6.767
BAŞAKŞEHİR ONURKENT PARKI - 2,Park,BASAKSEHIR,41.108588,28.795045,0.595
YAVUZ SULTAN SELİM CAMİ KÜLLİYESİ BAHÇESİ,Kamu,FATIH,41.026766,28.951222,1.316
ESENKENT TATLISU PARKI,Park,MALTEPE,40.93449,29.171289,0.752
BOSTANCI KAVŞAĞI - KÜÇÜKYALI KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",MALTEPE,40.955436,29.114833,5.595
GÜRPINAR SU ÜRÜNLERİ HALİ BAHÇESİ,Kamu,BEYLIKDUZU,40.966434,28.60238,1.299
SİRKECİ GAR ÖNÜ PARKI,Park,FATIH,41.01573,28.976963,0.47
KURBAĞALIDERE PARKI,Park,KADIKOY,40.980769,29.029993,4.112
KAYNARCA KAVŞAĞI - AYDINLI YOLU KAVŞAĞI ARASI YAN REFÜJ,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",PENDIK,40.872619,29.29071,10.982
İBB PROF. DR. ADEM BAŞTÜRK KÜLTÜR MERKEZİ BAHÇESİ,Kamu,ESENLER,41.040168,28.883987,0.259
ŞİLE KADIKÖY MAHALLE PARKI,Park,SILE,41.108837,29.904025,0.12
ÇATALCA 15 TEMMUZ HATIRA ORMANI,Hatıra Ormanı,CATALCA,41.108057,28.552384,12.284
SAADETDERE MAHALLE PARKI,Park,ESENYURT,41.004355,28.694433,0.401
BAKIRKÖY SAKIZAĞACI PARKI,Park,BAKIRKOY,40.978094,28.883498,0.464
GÖZTEPE KAVŞAĞI - KOZYATAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ATASEHIR,40.985362,29.089448,0.882
YAKACIK SAMANDIRA CADDESİ ORTA REFÜJLER,Cadde (Kavşak ve Refüj),KARTAL,40.933332,29.220166,0.716
